City,Year,Assault,Burglary,Homicide,Other Crimes,Robbery,Theft,Population,Total Crimes,Crime Rate Per 100K
Agra,2020,17.0,10.0,12.0,115.0,14.0,9.0,4580000.0,177.0,3.8646288209606987
Agra,2021,16.0,5.0,3.0,104.0,20.0,8.0,4580000.0,156.0,3.406113537117904
Agra,2022,16.0,4.0,9.0,107.0,22.0,8.0,4580000.0,166.0,3.6244541484716155
Agra,2023,20.0,8.0,6.0,111.0,11.0,6.0,4580000.0,162.0,3.5371179039301315
Agra,2024,8.0,5.0,2.0,70.0,12.0,6.0,4580000.0,103.0,2.2489082969432315
Ahmedabad,2020,38.0,23.0,23.0,267.0,39.0,19.0,6350000.0,409.0,6.440944881889764
Ahmedabad,2021,42.0,15.0,19.0,288.0,44.0,15.0,6350000.0,423.0,6.661417322834646
Ahmedabad,2022,55.0,18.0,10.0,236.0,30.0,16.0,6350000.0,365.0,5.748031496062993
Ahmedabad,2023,54.0,20.0,15.0,248.0,41.0,24.0,6350000.0,402.0,6.330708661417322
Ahmedabad,2024,16.0,18.0,9.0,143.0,23.0,9.0,6350000.0,218.0,3.433070866141732
Bangalore,2020,75.0,45.0,46.0,500.0,67.0,38.0,4580000.0,771.0,16.83406113537118
Bangalore,2021,68.0,43.0,34.0,532.0,75.0,38.0,4580000.0,790.0,17.24890829694323
Bangalore,2022,79.0,31.0,39.0,531.0,77.0,36.0,4580000.0,793.0,17.314410480349345
Bangalore,2023,68.0,48.0,36.0,506.0,81.0,40.0,4580000.0,779.0,17.00873362445415
Bangalore,2024,41.0,20.0,27.0,287.0,55.0,25.0,4580000.0,455.0,9.934497816593886
Bhopal,2020,18.0,7.0,6.0,100.0,13.0,7.0,4580000.0,151.0,3.2969432314410483
Bhopal,2021,11.0,4.0,4.0,108.0,13.0,8.0,4580000.0,148.0,3.2314410480349345
Bhopal,2022,11.0,3.0,9.0,89.0,8.0,8.0,4580000.0,128.0,2.794759825327511
Bhopal,2023,20.0,4.0,9.0,111.0,15.0,8.0,4580000.0,167.0,3.646288209606987
Bhopal,2024,11.0,5.0,7.0,64.0,5.0,4.0,4580000.0,96.0,2.096069868995633
Chennai,2020,44.0,31.0,27.0,347.0,47.0,26.0,8700000.0,522.0,6.0
Chennai,2021,58.0,23.0,34.0,364.0,39.0,33.0,8700000.0,551.0,6.333333333333333
Chennai,2022,46.0,35.0,28.0,390.0,51.0,31.0,8700000.0,581.0,6.678160919540231
Chennai,2023,51.0,31.0,29.0,353.0,61.0,26.0,8700000.0,551.0,6.333333333333333
Chennai,2024,28.0,14.0,20.0,182.0,32.0,12.0,8700000.0,288.0,3.310344827586207
Delhi,2020,107.0,61.0,53.0,783.0,113.0,64.0,16310000.0,1181.0,7.2409564684242795
Delhi,2021,116.0,50.0,67.0,786.0,124.0,57.0,16310000.0,1200.0,7.357449417535254
Delhi,2022,115.0,62.0,51.0,823.0,103.0,52.0,16310000.0,1206.0,7.39423666462293
Delhi,2023,87.0,45.0,49.0,735.0,113.0,61.0,16310000.0,1090.0,6.683016554261189
Delhi,2024,60.0,36.0,50.0,466.0,73.0,38.0,16310000.0,723.0,4.4328632740649905
Faridabad,2020,10.0,1.0,5.0,50.0,4.0,4.0,4580000.0,74.0,1.6157205240174672
Faridabad,2021,6.0,3.0,4.0,54.0,3.0,3.0,4580000.0,73.0,1.5938864628820961
Faridabad,2022,8.0,4.0,0.0,48.0,9.0,7.0,4580000.0,76.0,1.6593886462882095
Faridabad,2023,9.0,2.0,3.0,50.0,9.0,7.0,4580000.0,80.0,1.7467248908296942
Faridabad,2024,6.0,1.0,3.0,31.0,6.0,4.0,4580000.0,51.0,1.1135371179039302
Ghaziabad,2020,14.0,4.0,5.0,107.0,15.0,13.0,2360000.0,158.0,6.694915254237288
Ghaziabad,2021,9.0,9.0,8.0,103.0,22.0,5.0,2360000.0,156.0,6.610169491525424
